orden,seccion,especifico,ico,img1,img2,link1,link2,headline1,headline2,content1,content2,content3,content4,content5,,notas,notas2
2,2.Colectivo,1,Fa-pencil-ruler,static/img/colectivo.png,static/img/2021-07-24_13-14.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-10,,aaaaa,headline2,content1,content2,content3,content4,content5,,,
3,2.Colectivo,2,Fa-pencil-ruler,static/img/_MG_7880-117.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-9,,bbbb,headline2,content1,content2,content3,content4,content5,,,
4,3.Smart,2,Fa-pencil-ruler,static/img/smart.png,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-8,,ddd,nustras vidas sib kis rios que vana a dar a la mar,content1,content2,content3,content4,content5,,,
5,3.Smart,1,Fa-pencil-ruler,static/img/2021-07-23_17-41.png,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-7,,ssssss,headline2,content1,content2,content3,content4,content5,,,
6,3.Smart,2,Fa-pencil-ruler,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-6,,gdfgsdggggg,headline2,content1,content2,content3,content4,content5,,,
7,4.Servicios,2,Fa-pencil-ruler,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-5,,Estudio de viabilidad (Gratuito),headline2,"que analice
las posibilidades de su edificio,
el presupuesto de lo que podría costar
la instalación y cuánto se podría
ahorrar en su caso concreto. Para
esto, debe aportar datos de
sus facturas eléctricas, ya que el
patrón de consumo determina cuánto
Puede ahorrar.",content2,content3,content4,content5,,https://www.idae.es/publicaciones/guia-practica-para-convertirse-en-autoconsumidor-en-5-pasos,pagina5
8,4.Servicios,1,Fa-euro-sign,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-4,,Trámites administrativos (Incluida SUBVENCION),headline2,"que en
función de la ubicación y la tipología
pueden incluir licencias de obras
o
autorizaciones
administrativas,
especialmente para instalaciones más
grandes o aquellas situadas en edificios
afectados por alguna figura de protección
o en espacios protegidos ambientalmente.",content2,content3,content4,content5,,,
9,4.Servicios,2,Fa-project-diagram,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-3,,PROYECTO,headline2,content1,content2,content3,content4,content5,,,
10,4.Servicios,1,Fa-tools,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-2,,INSTALACION,headline2,content1,content2,content3,content4,content5,,,
11,4.Servicios,2,Fa-certificate,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-1,,CERTIFICACION,headline2,content1,content2,content3,content4,content5,,,
12,4.Servicios,1,Fa-handshake,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co0,,GARANTIA,headline2,content1,content2,content3,content4,content5,,,
13,4.Servicios,2,Fa-handshake,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co1,,GARANTIA,headline2,content1,content2,content3,content4,content5,,,
14,5.MovesIII,1,Fa-handshake,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co2,,,headline2,content1,content2,content3,content4,content5,,,
15,5.MovesIII,2,Fa-handshake,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-11,,,headline2,content1,content2,content3,content4,content5,,,
16,1.Individual,1,Fa-handshake,static/img/individual.png,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-10,,aaaaa,headline2,content1,content2,content3,content4,content5,,,
17,1.Individual,2,Fa-handshake,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-9,,fasdf,headline2,content1,content2,content3,content4,content5,,,
18,1.Individual,1,Fa-handshake,static/img/electric-car-4381728_640.jpg,static/img/2021-07-23_17-41.png,https://www.esios.ree.es/es/insertado/generacion-libre-co-8,,,headline2,content1,content2,content3,content4,content5,,,
